HomeTeam,AwayTeam,Result
Granada,Granada,2-0
AthleticClub,Barcelona,2-3
Eibar,Eibar,1-2
AthleticClub,Cadiz,0-1
Alaves,Alaves,1-0
AthleticClub,Levante,2-0
Osasuna,Osasuna,1-0
AthleticClub,Sevilla,2-1
Valladolid,Valladolid,2-1
AthleticClub,Betis,4-0
Getafe,Getafe,1-1
AthleticClub,CeltaVigo,0-2
Valencia,Valencia,2-2
AthleticClub,Huesca,2-0
Villarreal,Villarreal,1-1
AthleticClub,RealSociedad,0-1
AthleticClub,Elche,1-0
AtleticoMadr,AtleticoMadr,2-1
RealMadrid,RealMadrid,3-1
AthleticClub,Getafe,5-1
Barcelona,Barcelona,2-1
AthleticClub,Valencia,1-1
Cadiz,Cadiz,0-4
AthleticClub,Villarreal,1-1
Levante,Levante,1-1
AthleticClub,Granada,2-1
CeltaVigo,CeltaVigo,0-0
AthleticClub,Eibar,1-1
RealSociedad,RealSociedad,1-1
AthleticClub,Alaves,0-0
RealMadrid,RealMadrid,2-0
Getafe,Osasuna,1-0
Alaves,Alaves,0-0
Getafe,Betis,3-0
RealSociedad,RealSociedad,3-0
Getafe,Barcelona,1-0
Getafe,Granada,0-1
Valencia,Valencia,2-2
Getafe,Villarreal,1-3
Eibar,Eibar,0-0
Getafe,AthleticClub,1-1
Levante,Levante,3-0
Getafe,Sevilla,0-1
Cadiz,Cadiz,0-2
Getafe,CeltaVigo,1-1
AtleticoMadr,AtleticoMadr,1-0
Getafe,Valladolid,0-1
Elche,Elche,1-3
Getafe,Huesca,1-0
AthleticClub,AthleticClub,5-1
Getafe,Alaves,0-0
Sevilla,Sevilla,3-0
Getafe,RealSociedad,0-1
Betis,Betis,1-0
Getafe,Valencia,3-0
Valladolid,Valladolid,2-1
Getafe,AtleticoMadr,0-0
Getafe,Elche,1-1
Osasuna,Osasuna,0-0
Getafe,Cadiz,0-1
Barcelona,Barcelona,3-0
Sevilla,Sevilla,2-0
Elche,RealSociedad,0-3
Eibar,Eibar,0-1
Elche,Huesca,0-0
Alaves,Alaves,0-2
Elche,Valencia,2-1
Betis,Betis,3-1
Elche,CeltaVigo,1-1
Levante,Levante,1-1
Elche,Cadiz,1-1
Villarreal,Villarreal,0-0
Elche,Granada,0-1
AtleticoMadr,AtleticoMadr,3-1
Elche,Osasuna,2-2
Elche,RealMadrid,1-1
AthleticClub,AthleticClub,1-0
Elche,Getafe,1-3
Valladolid,Valladolid,2-2
Elche,Barcelona,0-2
Valencia,Valencia,1-0
Elche,Villarreal,2-2
CeltaVigo,CeltaVigo,3-1
Elche,Eibar,1-0
Granada,Granada,2-1
Elche,Sevilla,2-1
RealMadrid,RealMadrid,2-1
Getafe,Getafe,1-1
Elche,Betis,1-1
Huesca,Huesca,3-1
Cadiz,Cadiz,0-2
Getafe,Getafe,1-0
Osasuna,Levante,1-3
Granada,Granada,2-0
Osasuna,CeltaVigo,2-0
Eibar,Eibar,0-0
Osasuna,AthleticClub,1-0
Osasuna,AtleticoMadr,1-3
Sevilla,Sevilla,1-0
Osasuna,Huesca,1-1
Barcelona,Barcelona,4-0
Osasuna,Betis,0-2
Valladolid,Valladolid,3-2
Osasuna,Villarreal,1-3
Elche,Elche,2-2
Osasuna,Alaves,1-1
RealSociedad,RealSociedad,1-1
Osasuna,RealMadrid,0-0
Valencia,Valencia,1-1
Osasuna,Granada,3-1
Betis,Betis,1-0
Osasuna,Eibar,2-1
Levante,Levante,0-1
Osasuna,Sevilla,0-2
Alaves,Alaves,0-1
Osasuna,Barcelona,0-2
Osasuna,Valladolid,0-0
Huesca,Huesca,0-0
Osasuna,Getafe,0-0
Villarreal,Villarreal,1-2
Eibar,CeltaVigo,0-0
Villarreal,Villarreal,2-1
Eibar,AthleticClub,1-2
Eibar,Elche,0-1
Valladolid,Valladolid,1-2
Eibar,Osasuna,0-0
Sevilla,Sevilla,0-1
Eibar,Cadiz,0-2
Huesca,Huesca,1-1
Eibar,Getafe,0-0
Betis,Betis,0-2
Eibar,Valencia,0-0
RealSociedad,RealSociedad,1-1
Eibar,RealMadrid,1-3
Alaves,Alaves,2-1
Barcelona,Barcelona,1-1
Eibar,Granada,2-0
Levante,Levante,2-1
Eibar,AtleticoMadr,1-2
CeltaVigo,CeltaVigo,1-1
Eibar,Sevilla,0-2
Osasuna,Osasuna,2-1
Eibar,Valladolid,1-1
Elche,Elche,1-0
Eibar,Huesca,1-1
Cadiz,Cadiz,1-0
Eibar,Villarreal,1-3
AthleticClub,AthleticClub,1-1
RealMadrid,RealMadrid,2-0
Eibar,Levante,0-1
Granada,AthleticClub,2-0
Granada,Alaves,2-1
AtleticoMadr,AtleticoMadr,6-1
Granada,Osasuna,2-0
Cadiz,Cadiz,1-1
Granada,Sevilla,1-0
Getafe,Getafe,0-1
Granada,Levante,1-1
RealSociedad,RealSociedad,2-0
Granada,Valladolid,1-3
CeltaVigo,CeltaVigo,3-1
Granada,Huesca,3-3
Elche,Elche,0-1
Granada,Betis,2-0
RealMadrid,RealMadrid,2-0
Granada,Valencia,2-1
Eibar,Eibar,2-0
Granada,Barcelona,0-4
Villarreal,Villarreal,2-2
Osasuna,Osasuna,3-1
Granada,CeltaVigo,0-0
Levante,Levante,2-2
Granada,AtleticoMadr,1-2
Huesca,Huesca,3-2
Granada,Elche,2-1
AthleticClub,AthleticClub,2-1
Granada,RealSociedad,1-0
Valencia,Valencia,2-1
Granada,Villarreal,0-3
Valladolid,Valladolid,1-2
AtleticoMadr,Sevilla,2-0
Levante,Levante,1-1
AtleticoMadr,Granada,6-1
Huesca,Huesca,0-0
AtleticoMadr,Villarreal,0-0
CeltaVigo,CeltaVigo,0-2
AtleticoMadr,Betis,2-0
Osasuna,Osasuna,1-3
AtleticoMadr,Cadiz,4-0
AtleticoMadr,Barcelona,1-0
Valencia,Valencia,0-1
AtleticoMadr,Valladolid,2-0
RealMadrid,RealMadrid,2-0
AtleticoMadr,Elche,3-1
RealSociedad,RealSociedad,0-2
AtleticoMadr,Getafe,1-0
Alaves,Alaves,1-2
AtleticoMadr,AthleticClub,2-1
Eibar,Eibar,1-2
AtleticoMadr,Valencia,3-1
Cadiz,Cadiz,2-4
AtleticoMadr,CeltaVigo,2-2
Granada,Granada,1-2
AtleticoMadr,Levante,0-2
Villarreal,Villarreal,0-2
AtleticoMadr,RealMadrid,1-1
Getafe,Getafe,0-0
AtleticoMadr,Alaves,1-0
Sevilla,Sevilla,1-0
Betis,Betis,1-1
Cadiz,Osasuna,0-2
Huesca,Huesca,0-2
Cadiz,Sevilla,1-3
AthleticClub,AthleticClub,0-1
Cadiz,Granada,1-1
RealMadrid,RealMadrid,0-1
Cadiz,Villarreal,0-0
Eibar,Eibar,0-2
AtleticoMadr,AtleticoMadr,4-0
Cadiz,RealSociedad,0-1
Elche,Elche,1-1
Cadiz,Barcelona,2-1
CeltaVigo,CeltaVigo,4-0
Cadiz,Getafe,0-2
Betis,Betis,1-0
Cadiz,Valladolid,0-0
Valencia,Valencia,1-1
Cadiz,Alaves,3-1
Cadiz,Levante,2-2
Sevilla,Sevilla,3-0
Cadiz,AtleticoMadr,2-4
RealSociedad,RealSociedad,4-1
Cadiz,AthleticClub,0-4
Barcelona,Barcelona,1-1
Cadiz,Betis,0-1
Cadiz,Eibar,1-0
Alaves,Alaves,1-1
Villarreal,Villarreal,2-1
Cadiz,Valencia,2-1
Getafe,Getafe,0-1
Alaves,Betis,0-1
Granada,Granada,2-1
Alaves,Getafe,0-0
Villarreal,Villarreal,3-1
Alaves,AthleticClub,1-0
Alaves,Elche,0-2
Valladolid,Valladolid,0-2
Alaves,Barcelona,1-1
Levante,Levante,1-1
Alaves,Valencia,2-2
RealMadrid,RealMadrid,1-2
Alaves,RealSociedad,0-0
Huesca,Huesca,1-0
CeltaVigo,CeltaVigo,2-0
Alaves,Eibar,2-1
Osasuna,Osasuna,1-1
Alaves,AtleticoMadr,1-2
Cadiz,Cadiz,3-1
Alaves,Sevilla,1-2
Alaves,RealMadrid,1-4
Getafe,Getafe,0-0
Alaves,Valladolid,1-0
Barcelona,Barcelona,5-1
RealSociedad,RealSociedad,4-0
Alaves,Osasuna,0-1
Betis,Betis,3-2
Alaves,Cadiz,1-1
AtleticoMadr,AtleticoMadr,1-0
Alaves,CeltaVigo,1-3
AthleticClub,AthleticClub,0-0
Villarreal,Huesca,1-1
Villarreal,Eibar,2-1
Barcelona,Barcelona,4-0
Villarreal,Alaves,3-1
AtleticoMadr,AtleticoMadr,0-0
Villarreal,Valencia,2-1
Cadiz,Cadiz,0-0
Villarreal,Valladolid,2-0
Getafe,Getafe,1-3
Villarreal,RealMadrid,1-1
RealSociedad,RealSociedad,1-1
Villarreal,Elche,0-0
Betis,Betis,1-1
Osasuna,Osasuna,1-3
Villarreal,AthleticClub,1-1
Sevilla,Sevilla,2-0
Villarreal,Levante,2-1
CeltaVigo,CeltaVigo,0-4
Villarreal,Granada,2-2
Huesca,Huesca,0-0
Villarreal,RealSociedad,1-1
Elche,Elche,2-2
Villarreal,Betis,1-2
AthleticClub,AthleticClub,1-1
Villarreal,AtleticoMadr,0-2
Valencia,Valencia,2-1
Eibar,Eibar,1-3
Villarreal,Cadiz,2-1
Granada,Granada,0-3
Villarreal,Osasuna,1-2
Alaves,Alaves,0-1
Betis,Valladolid,2-0
Betis,RealMadrid,2-3
Getafe,Getafe,3-0
Valencia,Valencia,0-2
Betis,RealSociedad,0-3
AtleticoMadr,AtleticoMadr,2-0
Betis,Elche,3-1
Barcelona,Barcelona,5-2
AthleticClub,AthleticClub,4-0
Betis,Eibar,0-2
Osasuna,Osasuna,0-2
Betis,Villarreal,1-1
Granada,Granada,2-0
Betis,Cadiz,1-0
Levante,Levante,4-3
Betis,Sevilla,1-1
Huesca,Huesca,0-2
Betis,CeltaVigo,2-1
RealSociedad,RealSociedad,2-2
Betis,Osasuna,1-0
Betis,Barcelona,2-3
Villarreal,Villarreal,1-2
Betis,Getafe,1-0
Cadiz,Cadiz,0-1
Betis,Alaves,3-2
Sevilla,Sevilla,1-0
Betis,Levante,2-0
Elche,Elche,1-1
Betis,AtleticoMadr,1-1
Barcelona,Elche,3-0
AthleticClub,AthleticClub,2-3
Barcelona,Villarreal,4-0
CeltaVigo,CeltaVigo,0-3
Barcelona,Sevilla,1-1
Getafe,Getafe,1-0
Barcelona,RealMadrid,1-3
Alaves,Alaves,1-1
Barcelona,Betis,5-2
AtleticoMadr,AtleticoMadr,1-0
