SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE
2017,Manchester United,FC Basel,3,0
2017,SL Benfica,CSKA Moskva,1,2
2017,FC Basel,SL Benfica,5,0
2017,CSKA Moskva,Manchester United,1,4
2017,SL Benfica,Manchester United,0,1
2017,CSKA Moskva,FC Basel,0,2
2017,Manchester United,SL Benfica,2,0
2017,FC Basel,CSKA Moskva,1,2
2017,CSKA Moskva,SL Benfica,2,0
2017,FC Basel,Manchester United,1,0
2017,SL Benfica,FC Basel,0,2
2017,Manchester United,CSKA Moskva,2,1
2017,Bayern München,RSC Anderlecht,3,0
2017,Celtic FC,Paris Saint-Germain,0,5
2017,Paris Saint-Germain,Bayern München,3,0
2017,RSC Anderlecht,Celtic FC,0,3
2017,RSC Anderlecht,Paris Saint-Germain,0,4
2017,Bayern München,Celtic FC,3,0
2017,Paris Saint-Germain,RSC Anderlecht,5,0
2017,Celtic FC,Bayern München,1,2
2017,RSC Anderlecht,Bayern München,1,2
2017,Paris Saint-Germain,Celtic FC,7,1
2017,Bayern München,Paris Saint-Germain,3,1
2017,Celtic FC,RSC Anderlecht,0,1
2017,AS Roma,Atlético Madrid,0,0
2017,Chelsea FC,Qaraba? FK,6,0
2017,Qaraba? FK,AS Roma,1,2
2017,Atlético Madrid,Chelsea FC,1,2
2017,Qaraba? FK,Atlético Madrid,0,0
2017,Chelsea FC,AS Roma,3,3
2017,AS Roma,Chelsea FC,3,0
2017,Atlético Madrid,Qaraba? FK,1,1
2017,Qaraba? FK,Chelsea FC,0,4
2017,Atlético Madrid,AS Roma,2,0
2017,Chelsea FC,Atlético Madrid,1,1
2017,AS Roma,Qaraba? FK,1,0
2017,FC Barcelona,Juventus,3,0
2017,Olympiakos Piraeus,Sporting CP,2,3
2017,Juventus,Olympiakos Piraeus,2,0
2017,Sporting CP,FC Barcelona,0,1
2017,FC Barcelona,Olympiakos Piraeus,3,1
2017,Juventus,Sporting CP,2,1
2017,Olympiakos Piraeus,FC Barcelona,0,0
2017,Sporting CP,Juventus,1,1
2017,Juventus,FC Barcelona,0,0
2017,Sporting CP,Olympiakos Piraeus,3,1
2017,FC Barcelona,Sporting CP,2,0
2017,Olympiakos Piraeus,Juventus,0,2
2017,Liverpool FC,Sevilla FC,2,2
2017,NK Maribor,Spartak Moskva,1,1
