SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE,Goles Totales
2016,FC Basel,PFC Ludogorets Razgrad,1,1,2
2016,Paris Saint-Germain,Arsenal FC,1,1,2
2016,Arsenal FC,FC Basel,2,0,2
2016,PFC Ludogorets Razgrad,Paris Saint-Germain,1,3,4
2016,Arsenal FC,PFC Ludogorets Razgrad,6,0,6
2016,Paris Saint-Germain,FC Basel,3,0,3
2016,FC Basel,Paris Saint-Germain,1,2,3
2016,PFC Ludogorets Razgrad,Arsenal FC,2,3,5
2016,Arsenal FC,Paris Saint-Germain,2,2,4
2016,PFC Ludogorets Razgrad,FC Basel,0,0,0
2016,FC Basel,Arsenal FC,1,4,5
2016,Paris Saint-Germain,PFC Ludogorets Razgrad,2,2,4
2016,Dinamo Kiev,SSC Napoli,1,2,3
2016,SL Benfica,Be?ikta?,1,1,2
2016,Be?ikta?,Dinamo Kiev,1,1,2
2016,SSC Napoli,SL Benfica,4,2,6
2016,Dinamo Kiev,SL Benfica,0,2,2
2016,SSC Napoli,Be?ikta?,2,3,5
2016,Be?ikta?,SSC Napoli,1,1,2
2016,SL Benfica,Dinamo Kiev,1,0,1
2016,Be?ikta?,SL Benfica,3,3,6
2016,SSC Napoli,Dinamo Kiev,0,0,0
2016,Dinamo Kiev,Be?ikta?,6,0,6
2016,SL Benfica,SSC Napoli,1,2,3
2016,FC Barcelona,Celtic FC,7,0,7
2016,Manchester City,Bor. Mönchengladbach,4,0,4
2016,Bor. Mönchengladbach,FC Barcelona,1,2,3
2016,Celtic FC,Manchester City,3,3,6
2016,Celtic FC,Bor. Mönchengladbach,0,2,2
2016,FC Barcelona,Manchester City,4,0,4
2016,Bor. Mönchengladbach,Celtic FC,1,1,2
2016,Manchester City,FC Barcelona,3,1,4
2016,Bor. Mönchengladbach,Manchester City,1,1,2
2016,Celtic FC,FC Barcelona,0,2,2
2016,FC Barcelona,Bor. Mönchengladbach,4,0,4
2016,Manchester City,Celtic FC,1,1,2
2016,Bayern München,FK Rostov,5,0,5
2016,PSV Eindhoven,Atlético Madrid,0,1,1
2016,Atlético Madrid,Bayern München,1,0,1
2016,FK Rostov,PSV Eindhoven,2,2,4
2016,Bayern München,PSV Eindhoven,4,1,5
2016,FK Rostov,Atlético Madrid,0,1,1
2016,Atlético Madrid,FK Rostov,2,1,3
2016,PSV Eindhoven,Bayern München,1,2,3
