Equipos,Victorias Locales,Victorias Visitantes,Empates Locales,Empates Visitantes,Derrotas Locales,Derrotas Visitantes,Victorias Totales,Empates Totales,Derrotas Totales,Partidos Totales,Porcentage Victoria,Porcentage Empate,Porcentage Derrota
Bayern München,26.0,26.0,4.0,5.0,4.0,6,52.0,9.0,10.0,71.0,73.23943661971832,12.676056338028168,14.084507042253522
Manchester City,31.0,17.0,3.0,11.0,5.0,8,48.0,14.0,13.0,75.0,64.0,18.666666666666668,17.333333333333336
Real Madrid,25.0,24.0,7.0,5.0,7.0,11,49.0,12.0,18.0,79.0,62.0253164556962,15.18987341772152,22.78481012658228
Liverpool FC,21.0,19.0,6.0,3.0,5.0,11,40.0,9.0,16.0,65.0,61.53846153846154,13.846153846153848,24.615384615384617
Juventus,20.0,17.0,4.0,5.0,8.0,9,37.0,9.0,17.0,63.0,58.730158730158735,14.285714285714285,26.984126984126984
FC Barcelona,21.0,13.0,5.0,8.0,5.0,9,34.0,13.0,14.0,61.0,55.73770491803278,21.311475409836063,22.950819672131143
Paris Saint-Germain,19.0,16.0,5.0,6.0,7.0,10,35.0,11.0,17.0,63.0,55.55555555555556,17.46031746031746,26.984126984126984
Chelsea FC,12.0,15.0,7.0,3.0,5.0,7,27.0,10.0,12.0,49.0,55.10204081632652,20.40816326530612,24.489795918367346
AS Roma,8.0,2.0,1.0,1.0,1.0,7,10.0,2.0,8.0,20.0,50.0,10.0,40.0
Arsenal FC,2.0,2.0,1.0,1.0,1.0,1,4.0,2.0,2.0,8.0,50.0,25.0,25.0
AFC Ajax,8.0,11.0,2.0,5.0,9.0,3,19.0,7.0,12.0,38.0,50.0,18.421052631578945,31.57894736842105
RB Leipzig,10.0,8.0,4.0,1.0,6.0,9,18.0,5.0,15.0,38.0,47.368421052631575,13.157894736842104,39.47368421052632
Manchester United,8.0,7.0,2.0,3.0,6.0,6,15.0,5.0,12.0,32.0,46.875,15.625,37.5
FC Porto,14.0,9.0,3.0,6.0,8.0,10,23.0,9.0,18.0,50.0,46.0,18.0,36.0
SSC Napoli,11.0,6.0,5.0,5.0,3.0,8,17.0,10.0,11.0,38.0,44.73684210526316,26.31578947368421,28.94736842105264
Tottenham Hotspur,12.0,7.0,2.0,7.0,8.0,7,19.0,9.0,15.0,43.0,44.18604651162791,20.930232558139537,34.88372093023256
Borussia Dortmund,14.0,10.0,8.0,3.0,6.0,15,24.0,11.0,21.0,56.0,42.85714285714285,19.642857142857142,37.5
Atlético Madrid,15.0,10.0,10.0,6.0,4.0,14,25.0,16.0,18.0,59.0,42.3728813559322,27.11864406779661,30.508474576271187
