HOME_TEAM,Goles a favor,Goles en contra,Partidos jugados,Victorias,Empates,Derrotas,Porcentaje Victoria,Porcentaje Empate,Porcentaje Derrota
Bayern München,192,65,71,52,9,6,73.23943661971832,12.676056338028168,8.450704225352112
Manchester City,175,75,75,48,14,8,64.0,18.666666666666668,10.666666666666668
Real Madrid,174,97,79,49,12,11,62.0253164556962,15.18987341772152,13.924050632911392
Liverpool FC,144,72,65,40,9,11,61.53846153846154,13.846153846153847,16.923076923076923
Juventus,102,65,63,37,9,9,58.730158730158735,14.285714285714285,14.285714285714285
FC Barcelona,116,73,61,34,13,9,55.73770491803278,21.311475409836063,14.754098360655737
Paris Saint-Germain,143,76,63,35,11,10,55.55555555555556,17.46031746031746,15.873015873015872
Chelsea FC,85,51,49,27,10,7,55.10204081632652,20.408163265306122,14.285714285714285
Leicester City,11,10,10,5,2,3,50.0,20.0,30.0
AFC Ajax,74,50,38,19,7,3,50.0,18.421052631578945,7.894736842105263
AS Roma,35,31,20,10,2,7,50.0,10.0,35.0
Arsenal FC,20,16,8,4,2,1,50.0,25.0,12.5
RB Leipzig,66,70,38,18,5,9,47.368421052631575,13.157894736842104,23.684210526315788
Manchester United,50,36,32,15,5,6,46.875,15.625,18.75
FC Porto,75,64,50,23,9,10,46.0,18.0,20.0
SSC Napoli,70,46,38,17,10,8,44.73684210526316,26.31578947368421,21.052631578947366
Tottenham Hotspur,70,58,43,19,9,7,44.18604651162791,20.930232558139537,16.27906976744186
Borussia Dortmund,95,77,56,24,11,15,42.857142857142854,19.642857142857142,26.785714285714285
Atlético Madrid,65,61,59,25,16,14,42.3728813559322,27.11864406779661,23.728813559322035
Villarreal CF,20,16,12,5,3,2,41.66666666666667,25.0,16.666666666666664
Inter,51,43,39,16,10,8,41.02564102564102,25.64102564102564,20.51282051282051
FC Schalke 04,8,14,8,3,2,2,37.5,25.0,25.0
Eintracht Frankfurt,7,13,8,3,1,2,37.5,12.5,25.0
Valencia CF,19,21,14,5,4,2,35.714285714285715,28.57142857142857,14.285714285714285
FC Basel,16,22,14,5,2,3,35.714285714285715,14.285714285714285,21.428571428571427
SL Benfica,68,80,46,16,11,10,34.78260869565217,23.91304347826087,21.73913043478261
Atalanta,40,43,23,8,6,4,34.78260869565217,26.08695652173913,17.391304347826086
Sevilla FC,48,51,38,13,14,4,34.21052631578947,36.84210526315789,10.526315789473683
Viktoria Plze?,7,16,6,2,1,2,33.33333333333333,16.666666666666664,33.33333333333333
AC Milan,21,20,18,6,4,4,33.33333333333333,22.22222222222222,22.22222222222222
FC Sheriff,7,11,6,2,1,1,33.33333333333333,16.666666666666664,16.666666666666664
Sporting CP,35,43,26,8,3,8,30.76923076923077,11.538461538461538,30.76923076923077
Olympique Lyon,32,33,24,7,10,5,29.166666666666668,41.66666666666667,20.833333333333336
CSKA Moskva,21,30,18,5,4,4,27.77777777777778,22.22222222222222,22.22222222222222
RB Salzburg,41,53,26,7,7,7,26.923076923076923,26.923076923076923,26.923076923076923
