Jugador,Altura,Peso,Jgdos,Minutos,Goles,Asitencias,Amarillas,Roja,TirosPPartido,Ap%,Aéreos,JdelP,Rating
Jude Bellingham,186,75,8,745,4,4,2,0,2.5,90.0,1.1,2,7.84
Vinicius,176,73,7,632,3,4,2,0,2.6,79.8,0.1,2,7.7
Rodrygo,174,64,9,765,5,2,0,0,3.2,93.2,0.3,0,7.46
Lunin,191,80,6,571,0,0,0,0,0.0,71.9,0.3,2,7.4
Camavinga,182,68,8,657,0,1,2,0,1.1,90.9,0.9,1,7.09
Valverde,182,78,9,808,1,0,0,0,1.9,90.2,1.0,0,7.01
Brahim,171,59,4,298,2,1,0,0,1.1,84.1,0.0,0,6.93
Dani Ceballos,179,70,2,153,1,0,0,0,0.7,91.3,0.0,0,6.91
Toni Kroos,183,76,7,633,0,0,1,0,0.4,95.2,0.0,0,6.82
Rüdiger,190,85,8,770,0,1,0,0,0.7,89.2,1.8,0,6.8
Carvajal,173,73,7,666,0,1,3,0,0.5,82.1,1.5,0,6.73
Nico Paz,186,74,3,39,1,0,0,0,0.3,91.7,0.3,0,6.71
Joselu,192,80,6,257,3,0,0,0,3.5,80.0,1.6,1,6.71
Kepa,189,84,4,360,0,0,1,0,0.0,87.9,0.5,0,6.67
Tchouaméni,187,81,5,445,0,0,3,0,0.8,93.2,1.8,0,6.66
Nacho,189,76,8,737,0,0,1,0,0.2,94.2,1.2,0,6.59
Mendy,189,73,6,604,0,0,1,0,0.0,90.1,0.9,0,6.56
Lucas Vázquez,173,70,4,283,0,1,1,0,0.4,90.5,0.0,0,6.54
Modric,172,66,5,373,0,0,0,0,0.9,93.4,0.5,0,6.53
Alaba,180,78,3,251,0,1,1,0,1.3,91.4,0.7,0,6.48
Fran García,167,69,2,188,0,1,0,0,0.0,94.3,0.3,0,6.45
Militao,186,78,1,11,0,0,0,0,0.0,66.7,1.0,0,6.27
