SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE,Goles Totales
2016,Paris Saint-Germain,Arsenal FC,1,1,2
2016,PFC Ludogorets Razgrad,Paris Saint-Germain,1,3,4
2016,Paris Saint-Germain,FC Basel,3,0,3
2016,FC Basel,Paris Saint-Germain,1,2,3
2016,Arsenal FC,Paris Saint-Germain,2,2,4
2016,Paris Saint-Germain,PFC Ludogorets Razgrad,2,2,4
2016,Bayern München,FK Rostov,5,0,5
2016,Atlético Madrid,Bayern München,1,0,1
2016,Bayern München,PSV Eindhoven,4,1,5
2016,PSV Eindhoven,Bayern München,1,2,3
2016,FK Rostov,Bayern München,3,2,5
2016,Bayern München,Atlético Madrid,1,0,1
2016,Legia Warszawa,Borussia Dortmund,0,6,6
2016,Real Madrid,Sporting CP,2,1,3
2016,Borussia Dortmund,Real Madrid,2,2,4
2016,Real Madrid,Legia Warszawa,5,1,6
2016,Sporting CP,Borussia Dortmund,1,2,3
2016,Borussia Dortmund,Sporting CP,1,0,1
2016,Legia Warszawa,Real Madrid,3,3,6
2016,Borussia Dortmund,Legia Warszawa,8,4,12
2016,Sporting CP,Real Madrid,1,2,3
2016,Real Madrid,Borussia Dortmund,2,2,4
2016,SL Benfica,Borussia Dortmund,1,0,1
2016,Paris Saint-Germain,FC Barcelona,4,0,4
2016,Real Madrid,SSC Napoli,3,1,4
2016,Bayern München,Arsenal FC,5,1,6
2016,SSC Napoli,Real Madrid,1,3,4
2016,Arsenal FC,Bayern München,1,5,6
2016,Borussia Dortmund,SL Benfica,4,0,4
2016,FC Barcelona,Paris Saint-Germain,6,1,7
2016,Borussia Dortmund,AS Monaco,2,3,5
2016,Bayern München,Real Madrid,1,2,3
2016,Real Madrid,Bayern München,4,2,6
2016,AS Monaco,Borussia Dortmund,3,1,4
2016,Real Madrid,Atlético Madrid,3,0,3
2016,Atlético Madrid,Real Madrid,2,1,3
2016,Juventus,Real Madrid,1,4,5
2017,Bayern München,RSC Anderlecht,3,0,3
2017,Celtic FC,Paris Saint-Germain,0,5,5
2017,Paris Saint-Germain,Bayern München,3,0,3
2017,RSC Anderlecht,Paris Saint-Germain,0,4,4
2017,Bayern München,Celtic FC,3,0,3
2017,Paris Saint-Germain,RSC Anderlecht,5,0,5
2017,Celtic FC,Bayern München,1,2,3
2017,RSC Anderlecht,Bayern München,1,2,3
2017,Paris Saint-Germain,Celtic FC,7,1,8
2017,Bayern München,Paris Saint-Germain,3,1,4
2017,Tottenham Hotspur,Borussia Dortmund,3,1,4
2017,Real Madrid,APOEL Nikosia,3,0,3
2017,Borussia Dortmund,Real Madrid,1,3,4
2017,Real Madrid,Tottenham Hotspur,1,1,2
2017,APOEL Nikosia,Borussia Dortmund,1,1,2
2017,Tottenham Hotspur,Real Madrid,3,1,4
2017,Borussia Dortmund,APOEL Nikosia,1,1,2
2017,Borussia Dortmund,Tottenham Hotspur,1,2,3
2017,APOEL Nikosia,Real Madrid,0,6,6
2017,Real Madrid,Borussia Dortmund,3,2,5
2017,Real Madrid,Paris Saint-Germain,3,1,4
2017,Bayern München,Be?ikta?,5,0,5
2017,Paris Saint-Germain,Real Madrid,1,2,3
2017,Be?ikta?,Bayern München,1,3,4
2017,Sevilla FC,Bayern München,1,2,3
2017,Juventus,Real Madrid,0,3,3
2017,Bayern München,Sevilla FC,0,0,0
2017,Real Madrid,Juventus,1,3,4
2017,Bayern München,Real Madrid,1,2,3
2017,Real Madrid,Bayern München,2,2,4
2017,Real Madrid,Liverpool FC,3,1,4
2018,Club Brugge KV,Borussia Dortmund,0,1,1
2018,Borussia Dortmund,AS Monaco,3,0,3
2018,Borussia Dortmund,Atlético Madrid,4,0,4
2018,Atlético Madrid,Borussia Dortmund,2,0,2
2018,Borussia Dortmund,Club Brugge KV,0,0,0
2018,AS Monaco,Borussia Dortmund,0,2,2
2018,Liverpool FC,Paris Saint-Germain,3,2,5
2018,Paris Saint-Germain,Crvena Zvezda,6,1,7
2018,Paris Saint-Germain,SSC Napoli,2,2,4
2018,SSC Napoli,Paris Saint-Germain,1,1,2
2018,Paris Saint-Germain,Liverpool FC,2,1,3
2018,Crvena Zvezda,Paris Saint-Germain,1,4,5
2018,SL Benfica,Bayern München,0,2,2
2018,Bayern München,AFC Ajax,1,1,2
2018,AEK Athen,Bayern München,0,2,2
2018,Bayern München,AEK Athen,2,0,2
2018,Bayern München,SL Benfica,5,1,6
2018,AFC Ajax,Bayern München,3,3,6
2018,Real Madrid,AS Roma,3,0,3
2018,CSKA Moskva,Real Madrid,1,0,1
2018,Real Madrid,Viktoria Plze?,2,1,3
2018,Viktoria Plze?,Real Madrid,0,5,5
2018,AS Roma,Real Madrid,0,2,2
2018,Real Madrid,CSKA Moskva,0,3,3
2018,Manchester United,Paris Saint-Germain,0,2,2
2018,Tottenham Hotspur,Borussia Dortmund,3,0,3
2018,AFC Ajax,Real Madrid,1,2,3
2018,Liverpool FC,Bayern München,0,0,0
2018,Borussia Dortmund,Tottenham Hotspur,0,1,1
2018,Real Madrid,AFC Ajax,1,4,5
2018,Paris Saint-Germain,Manchester United,1,3,4
2018,Bayern München,Liverpool FC,1,3,4
2019,Paris Saint-Germain,Real Madrid,3,0,3
2019,Real Madrid,Club Brugge KV,2,2,4
2019,Galatasaray,Paris Saint-Germain,0,1,1
2019,Club Brugge KV,Paris Saint-Germain,0,5,5
2019,Galatasaray,Real Madrid,0,1,1
2019,Paris Saint-Germain,Club Brugge KV,1,0,1
2019,Real Madrid,Galatasaray,6,0,6
2019,Real Madrid,Paris Saint-Germain,2,2,4
2019,Paris Saint-Germain,Galatasaray,5,0,5
2019,Club Brugge KV,Real Madrid,1,3,4
2019,Bayern München,Crvena Zvezda,3,0,3
2019,Tottenham Hotspur,Bayern München,2,7,9
2019,Olympiakos Piraeus,Bayern München,2,3,5
2019,Bayern München,Olympiakos Piraeus,2,0,2
2019,Crvena Zvezda,Bayern München,0,6,6
2019,Bayern München,Tottenham Hotspur,3,1,4
2019,Borussia Dortmund,FC Barcelona,0,0,0
2019,Slavia Praha,Borussia Dortmund,0,2,2
2019,Inter,Borussia Dortmund,2,0,2
2019,Borussia Dortmund,Inter,3,2,5
2019,FC Barcelona,Borussia Dortmund,3,1,4
2019,Borussia Dortmund,Slavia Praha,2,1,3
2019,Borussia Dortmund,Paris Saint-Germain,2,1,3
2019,Chelsea FC,Bayern München,0,3,3
2019,Real Madrid,Manchester City,1,2,3
2019,Paris Saint-Germain,Borussia Dortmund,2,0,2
2019,Manchester City,Real Madrid,2,1,3
2019,Bayern München,Chelsea FC,4,1,5
2019,Atalanta,Paris Saint-Germain,1,2,3
2019,FC Barcelona,Bayern München,2,8,10
2019,RB Leipzig,Paris Saint-Germain,0,3,3
2019,Olympique Lyon,Bayern München,0,3,3
2019,Paris Saint-Germain,Bayern München,0,1,1
2020,Bayern München,Atlético Madrid,4,0,4
2020,Lokomotiv Moskva,Bayern München,1,2,3
2020,RB Salzburg,Bayern München,2,6,8
2020,Bayern München,RB Salzburg,3,1,4
2020,Atlético Madrid,Bayern München,1,1,2
2020,Bayern München,Lokomotiv Moskva,2,0,2
2020,Real Madrid,Shakhtar Donetsk,2,3,5
2020,Bor. Mönchengladbach,Real Madrid,2,2,4
2020,Real Madrid,Inter,3,2,5
2020,Inter,Real Madrid,0,2,2
2020,Shakhtar Donetsk,Real Madrid,2,0,2
2020,Real Madrid,Bor. Mönchengladbach,2,0,2
2020,Lazio Roma,Borussia Dortmund,3,1,4
2020,Borussia Dortmund,Zenit St. Petersburg,2,0,2
2020,Club Brugge KV,Borussia Dortmund,0,3,3
2020,Borussia Dortmund,Club Brugge KV,3,0,3
2020,Borussia Dortmund,Lazio Roma,1,1,2
2020,Zenit St. Petersburg,Borussia Dortmund,1,2,3
2020,Paris Saint-Germain,Manchester United,1,2,3
2020,?stanbul Ba?ak?ehir,Paris Saint-Germain,0,2,2
2020,RB Leipzig,Paris Saint-Germain,2,1,3
2020,Paris Saint-Germain,RB Leipzig,1,0,1
2020,Manchester United,Paris Saint-Germain,1,3,4
2020,Paris Saint-Germain,?stanbul Ba?ak?ehir,5,1,6
2020,FC Barcelona,Paris Saint-Germain,1,4,5
2020,Sevilla FC,Borussia Dortmund,2,3,5
2020,Lazio Roma,Bayern München,1,4,5
2020,Atalanta,Real Madrid,0,1,1
2020,Borussia Dortmund,Sevilla FC,2,2,4
2020,Paris Saint-Germain,FC Barcelona,1,1,2
2020,Real Madrid,Atalanta,3,1,4
2020,Bayern München,Lazio Roma,2,1,3
2020,Manchester City,Borussia Dortmund,2,1,3
