Jugador,Altura,Peso,Jgdos,Minutos,Goles,Asitencias,Amarillas,Roja,TirosPPartido,Ap%,Aéreos,JdelP,Rating
Kobel,195,88,9,810,0,0,0,0,0.0,82.1,0.1,1,7.2
Bensebaïni,186,82,5,372,0,0,0,0,0.6,76.8,0.6,1,7.15
Hummels,191,94,10,900,0,1,2,0,0.7,86.7,1.7,1,7.11
Meyer,195,90,1,90,0,0,0,0,0.0,84.4,2.0,0,7.09
Brandt,185,83,9,538,2,1,0,0,1.6,80.5,0.7,1,7.03
Fülkrug,189,83,10,772,2,3,0,0,2.5,64.7,4.1,0,7.01
Sancho,180,76,4,319,1,0,0,0,0.5,80.0,0.0,0,6.99
Sabitzer,178,76,9,659,1,5,0,0,0.9,82.0,0.1,1,6.91
Adeyemí,180,68,9,498,2,1,0,0,1.1,75.9,0.4,0,6.76
Ryerson,183,86,7,630,0,0,2,0,0.6,86.3,0.6,0,6.75
Malen,176,68,7,451,1,0,0,0,3.3,77.1,0.4,1,6.71
Schlotterbeck,191,86,9,706,0,1,3,0,0.4,84.3,0.9,0,6.68
Maatsen,167,57,4,360,1,0,2,0,0.8,85.1,0.3,0,6.68
Süle,195,99,5,371,0,0,1,0,0.0,82.7,0.4,0,6.67
Nmecha,188,73,6,341,1,0,1,0,1.2,76.7,0.8,1,6.67
Wolf,188,81,5,283,0,0,1,0,0.6,69.0,0.6,0,6.6
Can,186,86,8,653,0,0,4,0,0.6,86.2,0.3,0,6.6
Özcan ,182,74,9,439,0,0,0,0,0.3,86.2,0.8,0,6.56
Reus,189,71,10,427,2,1,0,0,0.9,81.2,0.2,0,6.55
Bynoe-Gittens,175,70,6,199,1,0,0,0,1.2,67.3,0.0,0,6.49
Haller,190,82,3,51,1,0,0,0,0.3,69.2,1.3,0,6.48
Reyna,185,79,2,20,0,0,0,0,0.0,88.9,0.5,0,6.19
Moukoko,179,72,3,16,0,0,0,0,0.0,77.8,0.3,0,6.12
