Jugador,Altura,Peso,Jgdos,Minutos,Goles,Asitencias,Amarillas,Roja,TirosPPartido,Ap%,Aéreos,JdelP,Rating
Mbappé,178,75,10,900,8,0,1,0,4.3,85.4,0.4,6,7.74
Dembélé,178,67,9,774,2,1,4,0,3.1,77.0,0.3,0,7.25
Mendes,176,70,3,242,0,0,1,0,0.3,90.5,0.0,0,7.11
Vitnha,172,64,10,734,2,1,2,0,1.5,93.5,0.3,0,7.11
Beraldo,184,78,3,270,0,0,1,0,0.0,86.2,3.7,0,6.97
Hakimi,181,73,9,803,1,1,3,0,1.7,86.3,0.9,1,6.89
Barcola,186,73,8,384,1,1,0,0,1.8,81.1,0.4,0,6.87
Fabián Ruiz,189,70,7,469,0,2,1,0,1.4,90.1,0.4,0,6.87
Zaire-Emery,178,68,9,739,1,3,1,0,0.4,90.8,0.2,0,6.8
Skriniar,187,80,6,539,1,0,2,0,0.5,93.6,1.3,0,6.78
Pereira,188,83,3,159,0,0,0,0,0.0,94.8,1.7,0,6.74
Marquinhos,183,75,8,720,0,1,2,0,0.1,90.5,1.9,0,6.72
Donnarumma,196,90,10,900,0,0,2,0,0.0,82.7,0.3,0,6.67
Kang-In,174,72,8,329,1,1,1,0,1.4,92.8,0.1,0,6.57
Lucas Hernández,184,79,10,800,1,0,2,0,0.4,90.5,0.8,0,6.51
Kolo Muani,187,73,9,448,1,0,1,0,0.9,71.4,0.7,0,6.47
Asensio,182,76,5,92,0,0,0,0,1.0,87.2,0.0,0,6.29
Ugarte,182,77,8,392,0,0,2,0,0.5,91.6,0.4,0,6.22
Gonçalo Ramos,185,79,6,149,0,0,1,0,0.7,84.9,0.0,0,6.1
Mukiele,187,84,3,55,0,0,0,0,0.0,89.7,0.3,0,6.04
Soler,180,76,2,8,0,0,0,0,0.0,100.0,0.0,0,5.95
